L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;L13;L14;L15;vType;vWeight;[A]LONG_NAME_HUN;[A]LONG_NAME_ENG;[N]COMPANY;[N]FOREIGN;[S]KOD;[N]STATUSZ;[N]FOREIGN;[N]SAP;[S]SUBS_GROUP;[S]COUNTRY;[N]PROJECT;[S]OLD_NAME;[S]TAX_GROUP;[S]OPERATIONS
company_total;;;;;;;;;;;;;;;C;0;Partner összesen;Partner total;;;;;;;;;;;;
;PART;;;;;;;;;;;;;;N;1;MVM Paksi Atomerőmű Zrt.;MVM Paksi Atomerőmű Zrt.;1;;10;1;;1;;HU;;;;gen_nuclear
;ATMX;;;;;;;;;;;;;;N;1;ATOMIX Kft.;ATOMIX Kft.;1;;22;1;;1;;HU;;;;
;HUWI;;;;;;;;;;;;;;N;1;MVM Zöld Generáció Zrt.;MVM Zöld Generáció Zrt.;1;;30;1;;1;ZG;HU;;;;
;HULL;;;;;;;;;;;;;;N;1;Komm Hull Villamosenergia Kereskedő Kft.;Komm Hull Villamosenergia Kereskedő Kft.;1;;51;1;;;ZG;HU;;;;
;ZGSO;;;;;;;;;;;;;;N;1;MVM ZG Solar Kft.;MVM ZG Solar Kft.;1;;52;1;;;ZG;HU;;;;
;ZGSS;;;;;;;;;;;;;;N;1;MVM ZG SOLAR STAR Kft.;MVM ZG SOLAR STAR Kft.;1;;8R;1;;;ZG;HU;;;;
;DEHN;;;;;;;;;;;;;;N;1;DEHNMIB Naperőmű Ingatlan Kft.;DEHNMIB Naperőmű Ingatlan Kft.;1;;;1;;;;HU;;;;
;DENE;;;;;;;;;;;;;;N;1;4D Energetika Kft.;4D Energetika Kft.;1;;;1;;;;HU;;;;
;DMES;;;;;;;;;;;;;;N;1;Dunántúli Megújuló Energia Zrt.;Dunántúli Megújuló Energia Zrt.;1;;;1;;;;HU;;;;
;DNES;;;;;;;;;;;;;;N;1;Dunántúli Naperőmű Energia Zrt.;Dunántúli Naperőmű Energia Zrt.;1;;;1;;;;HU;;;;
;RAEN;;;;;;;;;;;;;;N;1;Raaba Energy Kft.;Raaba Energy Kft.;1;;5A;1;;;ZG;HU;;;;
;SOSE;;;;;;;;;;;;;;N;1;MVM ZG Solar Service Kft.;MVM ZG Solar Service Kft.;1;;8N;1;;;ZG;HU;;;;
;TVIZ;;;;;;;;;;;;;;N;1;MVM Vízerőmű Kft.;MVM Vízerőmű Kft.;1;;8S;1;;;;HU;;;;
;ZBEK;;;;;;;;;;;;;;N;1;Békés Solar Kft.;Békés Solar Kft.;1;;;;;;;;;;;
;ZINO;;;;;;;;;;;;;;N;1;Innovolt Kft.;Innovolt Kft.;1;;;;;;;;;;;
;ZTAT;;;;;;;;;;;;;;N;1;MVM ZG Tisolar Kft.;MVM ZG Tisolar Kft.;1;;;;;;;;;;;
;ZENE;;;;;;;;;;;;;;N;1;Zöld Energiatároló Kft.;Zöld Energiatároló Kft.;1;;;;;;;;;;;
;GTER;;;;;;;;;;;;;;N;1;MVM Balance Zrt.;MVM Balance Zrt.;1;;20;1;;1;;HU;;;;
;MIFU;;;;;;;;;;;;;;N;1;MVM MIFŰ Kft.;MVM MIFŰ Kft.;1;;24;1;;1;;HU;;;;
;MVEF;;;;;;;;;;;;;;N;1;MVM OTSZ Zrt.;MVM OTSZ Zrt.;1;;48;1;;1;;HU;;;;
;NRGF;;;;;;;;;;;;;;N;1;NRG Finance Kft.;NRG Finance Kft.;1;;55;1;;;;HU;;;;
;RESZ;;;;;;;;;;;;;;N;1;Rába Energiaszolgáltató Kft.;Rába Energiaszolgáltató Kft.;1;;56;1;;;;HU;;;;
;NUKA;;;;;;;;;;;;;;N;1;MVM NUKA Zrt.;MVM NUKA Zrt.;1;;26;1;;;;HU;;;;
;TISE;;;;;;;;;;;;;;N;1;MVM Tisza Erőmű Kft. (EUR);MVM Tisza Erőmű Kft. (EUR);1;;;;;;;;;;;
;TISZ;;;;;;;;;;;;;;N;1;MVM Tisza Erőmű Kft.;MVM Tisza Erőmű Kft.;1;;8P;1;;;;HU;;;;
;VERT;;;;;;;;;;;;;;N;1;Vértesi Erőmű Zrt.;Vértesi Erőmű Zrt.;1;;14;1;;1;;HU;;;;
