vL1;vL2;vL3;vL4;vL5;vL6;vL7;vL8;vL9;vL10;vL11;vL12;vL13;vL14;vL15;vType;vWeight;[S]Local_Source;[A]ContentID;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[]
Content000001;;;;;;;;;;;;;;;N;1;;PLA_WHOLESALE_MARGIN;;;;;;;;;;;;;;;;;;
Content000002;;;;;;;;;;;;;;;N;1;;PLA_GEN_MARGIN;;;;;;;;;;;;;;;;;;
Content000003;;;;;;;;;;;;;;;N;1;;PLA_NON_CORE_MARGIN;;;;;;;;;;;;;;;;;;
Content000004;;;;;;;;;;;;;;;N;1;;REP_WHOLESALE_MARGIN;;;;;;;;;;;;;;;;;;
Content000005;;;;;;;;;;;;;;;N;1;;REP_GEN_MARGIN;;;;;;;;;;;;;;;;;;
Content000006;;;;;;;;;;;;;;;N;1;;REP_NON_CORE_MARGIN;;;;;;;;;;;;;;;;;;
Content000007;;;;;;;;;;;;;;;N;1;;PLA_PNL;;;;;;;;;;;;;;;;;;
Content000008;;;;;;;;;;;;;;;N;1;;PLA_OPEX;;;;;;;;;;;;;;;;;;
Content000009;;;;;;;;;;;;;;;N;1;;version;;;;;;;;;;;;;;;;;;
Content000010;;;;;;;;;;;;;;;N;1;;period;;;;;;;;;;;;;;;;;;
Content000011;;;;;;;;;;;;;;;N;1;;company;;;;;;;;;;;;;;;;;;
Content000012;;;;;;;;;;;;;;;N;1;;partner;;;;;;;;;;;;;;;;;;
Content000013;;;;;;;;;;;;;;;N;1;;wholesale_margin;;;;;;;;;;;;;;;;;;
Content000014;;;;;;;;;;;;;;;N;1;;taxes;;;;;;;;;;;;;;;;;;
Content000015;;;;;;;;;;;;;;;N;1;;profit_and_loss;;;;;;;;;;;;;;;;;;
Content000016;;;;;;;;;;;;;;;N;1;;unit;;;;;;;;;;;;;;;;;;
Content000017;;;;;;;;;;;;;;;N;1;;data_type;;;;;;;;;;;;;;;;;;
Content000018;;;;;;;;;;;;;;;N;1;;opex;;;;;;;;;;;;;;;;;;
Content000019;;;;;;;;;;;;;;;N;1;;cost_type;;;;;;;;;;;;;;;;;;
